income,credit_score,employment_years,loan_amount,loan_term,age,existing_debts,num_dependents,education,own_property,debt_to_income,loan_to_income,approved,avg_response_time,num_edits,inconsistency_score,session_duration,num_page_switches,behavior_score,fraud_score,is_fraud
71665.66,844,12.82,26945.45,36,40,0.0,1,1,1,0.0902,0.376,1,4.853,3,0.0311,23.11,0,0.0538,6.51,0
38754.84,766,3.38,45082.52,48,34,5407.93,1,1,0,1.9537,1.1633,0,3.792,4,0.1096,28.66,1,0.0941,4.99,0
53487.16,656,4.93,25419.88,60,41,2819.55,0,0,1,0.7466,0.4753,0,14.651,2,0.1819,60.7,0,0.0857,13.04,0
69152.86,559,5.96,13137.2,36,50,18867.77,3,1,1,3.3197,0.19,0,7.537,2,0.0235,50.33,0,0.0401,29.99,0
41351.31,786,10.5,27609.74,36,54,25805.43,1,1,1,7.6489,0.6677,0,5.696,0,0.0589,22.12,0,0.0195,22.37,0
63021.2,606,2.37,44214.82,120,39,5572.48,0,0,0,1.2294,0.7016,0,10.296,3,0.1288,15.76,0,0.0828,15.47,0
34062.1,580,10.21,13206.8,24,22,3651.19,2,1,0,1.3794,0.3877,0,10.365,0,0.238,21.41,0,0.0681,12.36,0
40147.7,602,2.48,47963.21,84,23,7164.41,1,2,1,2.4281,1.1947,0,12.947,1,0.0604,44.76,1,0.0474,12.22,0
39737.24,527,7.4,70780.43,24,21,10287.97,1,2,1,3.5343,1.7812,0,5.879,5,0.1375,47.31,1,0.1168,28.85,0
25394.51,598,0.4,85987.31,24,29,5529.95,0,1,0,3.4258,3.3861,0,11.187,3,0.338,85.41,0,0.1358,20.53,0
64076.62,619,9.99,40924.39,60,37,2133.51,2,2,0,0.5528,0.6387,0,3.844,0,0.3718,50.72,0,0.0962,4.93,0
37866.75,705,3.86,10167.76,12,39,18334.95,2,2,0,5.8748,0.2685,0,31.275,2,0.1788,46.23,1,0.1063,48.88,1
49358.82,605,1.02,50058.77,24,49,0.0,4,1,1,0.2434,1.0142,0,40.098,0,0.118,22.38,0,0.0629,8.59,0
63857.59,525,20.63,61615.05,84,21,0.0,0,2,1,0.2316,0.9649,0,4.311,2,0.05,144.0,0,0.0441,0.09,0
62667.12,495,5.26,20894.74,12,36,0.0,3,3,0,0.08,0.3334,1,15.851,0,0.0454,20.26,0,0.0246,0.0,0
70683.1,658,3.01,31343.31,24,42,28323.81,1,2,0,4.915,0.4434,0,9.136,3,0.4115,54.88,1,0.16,47.56,1
46436.12,646,3.05,44996.48,84,21,6684.45,0,2,0,1.96,0.969,0,12.142,2,0.2853,30.82,0,0.1095,7.4,0
38839.22,590,1.63,105000.38,48,41,4848.19,2,2,1,2.1468,2.7035,0,11.628,2,0.4935,164.59,0,0.1611,12.02,0
46917.92,597,2.63,27825.21,36,67,5296.53,1,1,0,1.497,0.5931,0,30.39,3,0.2766,69.36,0,0.1365,11.0,0
19379.4,674,2.74,58648.44,84,45,38201.22,0,2,0,24.3811,3.0263,0,17.642,0,0.1265,10.0,1,0.0538,17.25,0
22116.7,765,0.36,40359.96,120,40,6908.75,0,2,1,4.1865,1.8249,0,5.269,1,0.1575,67.57,0,0.0578,31.65,0
23683.06,569,6.18,37407.55,12,33,31080.99,4,2,1,16.1275,1.5795,0,11.801,3,0.3298,40.48,0,0.1343,28.62,0
28325.4,648,0.13,78026.61,48,39,5474.26,2,3,1,2.9803,2.7547,0,10.86,1,0.0526,22.68,3,0.0587,16.43,0
61076.09,726,1.97,19140.76,120,53,0.0,4,3,1,0.0752,0.3134,1,5.593,2,0.3928,60.85,0,0.1309,14.19,0
29791.74,570,4.74,38168.44,12,33,14677.94,2,3,0,6.2197,1.2812,0,13.114,0,0.11,21.3,1,0.0459,6.62,0
39815.46,638,10.33,33445.43,36,50,4697.6,2,2,1,1.6174,0.84,0,10.812,2,0.1279,30.89,0,0.069,0.49,0
100165.15,636,1.24,12338.78,24,42,10489.33,0,1,0,1.2862,0.1232,0,35.001,0,0.2236,55.55,1,0.0926,19.06,0
40297.91,521,7.56,73216.73,24,54,9612.87,1,2,0,3.2986,1.8169,0,9.396,0,0.1719,43.43,0,0.0508,20.86,0
73543.59,655,11.19,56323.16,120,48,9492.78,0,3,1,1.7327,0.7658,0,16.036,0,0.102,32.58,1,0.0464,0.0,0
29334.23,642,13.27,33591.27,60,39,32901.94,0,1,1,13.7343,1.1451,0,1.631,2,0.2312,32.23,1,0.0947,27.33,0
43783.37,689,20.52,27725.38,12,38,10041.09,1,1,1,2.904,0.6332,0,2.649,1,0.0264,41.83,0,0.0228,0.0,0
29070.75,533,0.81,32864.37,36,33,8969.96,1,2,0,3.974,1.1305,0,14.558,0,0.4964,59.64,2,0.1512,28.44,0
40681.63,640,0.06,52041.23,36,47,5993.59,4,2,0,2.075,1.2792,0,12.301,2,0.1068,20.35,2,0.08,2.51,0
77821.22,764,15.37,34009.05,120,30,12800.25,0,1,1,2.0787,0.437,0,23.867,1,0.1651,18.64,0,0.0752,0.0,0
18957.86,826,2.03,21292.81,36,38,11838.47,0,1,1,7.7631,1.1232,0,4.14,4,0.1297,14.58,1,0.0994,18.86,0
62251.19,755,26.74,23479.86,12,34,0.0,2,1,0,0.0905,0.3772,1,8.653,3,0.3449,103.45,0,0.1354,10.89,0
55868.42,534,6.75,32601.68,120,22,18049.11,0,2,0,4.0168,0.5835,0,1.325,3,0.1831,44.72,1,0.0964,28.06,0
35355.79,680,17.58,17922.54,12,39,6809.41,1,2,1,2.4328,0.5069,0,5.413,0,0.1957,33.06,0,0.0534,5.18,0
22129.53,596,4.9,40809.1,120,21,13268.33,2,1,1,7.6375,1.8441,0,7.627,1,0.1467,34.3,0,0.057,31.45,0
51004.61,665,11.7,19624.61,36,32,0.0,0,2,0,0.0923,0.3848,1,10.152,2,0.1652,37.75,0,0.0778,11.46,0
36635.72,570,2.37,17671.0,60,44,17615.85,0,1,0,5.8858,0.4823,0,6.879,0,0.1048,51.45,2,0.0469,22.77,0
55713.17,485,6.26,261852.28,48,38,4401.28,4,0,1,2.076,4.7,0,24.804,4,0.0914,38.86,0,0.0995,4.75,0
49613.52,608,7.43,115948.73,24,38,14387.34,3,0,0,4.0407,2.337,0,3.22,3,0.0561,20.37,1,0.0662,26.94,0
118299.92,705,0.14,36082.54,48,27,24070.23,0,2,1,2.5148,0.305,0,3.704,1,0.1605,26.25,0,0.0572,0.0,0
42974.17,665,1.58,57134.34,24,48,0.0,1,3,0,0.3191,1.3295,0,16.302,0,0.0432,76.36,1,0.0319,7.02,0
27919.38,676,21.6,63806.88,48,27,21584.06,0,1,1,9.8255,2.2854,0,7.987,2,0.1068,60.15,0,0.0613,21.63,0
54100.66,659,10.13,31287.11,12,44,3240.07,3,2,0,0.8575,0.5783,0,34.332,2,0.3073,28.72,0,0.1334,9.09,0
55326.0,676,2.5,39489.55,24,51,7552.97,0,2,0,1.8095,0.7138,0,19.801,2,0.1371,41.19,1,0.0863,0.0,0
103523.42,687,1.32,27711.12,12,21,0.0,3,2,1,0.0642,0.2677,1,14.625,2,0.1495,116.59,0,0.0776,0.16,0
77599.11,615,0.38,74323.75,60,32,4620.77,0,1,0,0.9444,0.9578,0,2.568,3,0.046,18.53,0,0.0556,8.18,0
59651.77,647,5.09,74991.61,120,31,0.0,0,1,0,0.3017,1.2572,0,6.521,3,0.0282,15.22,0,0.0545,0.0,0
109624.55,796,0.11,90694.07,12,40,0.0,0,2,0,0.1986,0.8273,1,13.843,2,0.1285,108.74,1,0.0792,5.25,0
25493.54,652,0.03,39061.75,60,26,18026.54,1,1,1,8.853,1.5322,0,6.377,1,0.2587,64.53,1,0.0915,40.47,0
34480.07,643,8.36,134466.88,48,24,0.0,3,2,1,0.936,3.8998,0,14.011,2,0.0762,39.21,0,0.0587,11.06,0
29448.06,649,1.59,31268.67,24,36,3300.79,0,2,0,1.5999,1.0618,0,14.216,0,0.0442,134.3,1,0.0304,1.92,0
39561.22,620,0.86,124306.41,60,30,5389.54,0,2,1,2.3889,3.1421,0,5.438,3,0.2296,85.37,1,0.1114,6.0,0
22990.18,600,1.97,24315.16,84,35,4317.28,1,2,1,2.5073,1.0576,0,4.277,1,0.089,13.92,1,0.0473,1.93,0
69517.45,658,1.77,14138.6,120,46,4073.49,0,2,1,0.752,0.2034,1,25.088,1,0.362,49.22,0,0.1254,14.43,0
43381.03,594,1.83,122770.89,12,21,6297.26,1,2,1,2.4212,2.8301,0,11.485,2,0.1375,28.27,1,0.0795,0.0,0
21830.35,626,0.38,50475.59,24,35,8239.93,1,2,1,5.0844,2.3122,0,11.551,3,0.0573,27.64,2,0.0809,30.51,0
28041.24,568,0.66,46047.54,48,30,6332.16,1,3,1,3.1039,1.6421,0,24.959,3,0.1791,14.77,1,0.1151,27.13,0
58246.11,649,3.14,25995.66,84,37,2480.75,2,2,1,0.6182,0.4463,0,48.097,2,0.096,28.4,1,0.0996,18.34,0
77727.91,692,3.16,18970.74,24,30,0.0,0,3,1,0.0586,0.2441,1,1.012,0,0.3183,39.3,1,0.0879,2.57,0
147002.08,620,1.92,20177.76,36,24,0.0,1,1,1,0.0329,0.1373,1,37.955,2,0.0428,88.21,2,0.0853,17.76,0
243439.65,459,17.46,35956.16,48,41,11322.49,1,1,1,0.5936,0.1477,0,25.75,2,0.2937,23.37,0,0.1229,13.46,0
61569.7,693,16.25,29803.16,60,67,11890.95,1,2,0,2.4337,0.4841,0,8.573,2,0.1558,33.09,0,0.0741,14.02,0
28445.75,650,1.07,9307.94,24,35,13684.06,2,1,1,5.8512,0.3272,0,30.045,1,0.1598,13.11,0,0.079,33.07,0
15174.54,550,11.55,98808.95,36,29,9232.37,0,2,1,8.8637,6.5115,0,10.268,1,0.1303,35.24,0,0.0551,22.34,0
56797.14,709,10.86,25013.91,12,28,3990.72,0,1,1,0.9489,0.4404,1,42.843,2,0.0869,56.7,3,0.1079,9.48,0
31347.27,514,7.62,73494.52,24,47,29377.79,0,1,1,11.8088,2.3445,0,29.032,2,0.389,24.74,0,0.1494,35.33,0
39009.23,734,12.41,20771.33,120,27,0.0,1,3,1,0.1278,0.5325,1,15.652,1,0.4776,11.76,1,0.1539,14.15,0
35008.52,634,3.55,36339.03,84,51,3777.99,0,1,0,1.5441,1.038,0,6.494,0,0.09,10.0,1,0.0354,1.79,0
45368.12,435,4.0,61821.24,120,21,3824.15,0,3,1,1.3385,1.3627,0,11.873,1,0.137,47.96,0,0.0582,30.15,0
88105.4,656,10.49,56518.59,120,39,43977.7,2,2,0,6.1437,0.6415,0,5.237,1,0.3107,44.76,0,0.096,29.51,0
53443.31,603,7.86,27607.03,48,44,7058.06,4,2,1,1.7088,0.5166,0,6.07,1,0.2356,17.27,0,0.078,7.96,0
44925.05,589,1.62,45754.3,24,45,4555.51,0,1,1,1.4613,1.0185,0,12.843,2,0.1145,18.22,0,0.0673,7.86,0
27733.34,573,0.43,50989.01,84,44,5162.52,0,2,0,2.675,1.8385,0,9.886,3,0.1134,77.27,0,0.0786,0.0,0
19514.72,628,1.54,29847.18,120,39,11888.83,1,2,1,7.6778,1.5295,0,6.252,2,0.4195,42.35,0,0.1381,22.46,0
37516.29,596,0.14,15931.97,24,49,5408.7,3,2,0,1.832,0.4247,0,44.778,2,0.1124,36.43,0,0.0934,5.99,0
47591.98,472,4.37,21895.39,84,26,9075.65,1,1,1,2.3988,0.4601,0,6.888,6,0.2914,61.45,1,0.1701,22.53,0
129619.88,754,5.16,25680.86,36,29,57694.98,1,2,0,5.3889,0.1981,0,10.754,3,0.1134,37.15,0,0.0793,14.56,0
52662.08,618,7.28,33420.95,120,32,2131.34,3,0,1,0.638,0.6346,0,11.0,4,0.176,32.86,1,0.1167,1.61,0
84162.67,574,1.36,92507.71,24,53,5738.35,2,2,0,1.082,1.0992,0,1.713,2,0.1588,17.21,1,0.0766,9.29,0
37249.26,538,12.71,59270.3,60,42,8536.61,2,0,1,3.132,1.5912,0,101.892,1,0.2187,21.55,1,0.1611,42.21,0
25547.15,709,13.14,19332.8,12,44,0.0,0,2,1,0.1816,0.7567,1,6.756,4,0.0452,18.18,0,0.0729,8.42,0
28830.4,523,2.64,108416.93,120,35,0.0,2,1,1,0.9025,3.7605,0,20.648,0,0.1308,54.1,0,0.0499,2.4,0
32896.64,652,14.23,31218.33,36,45,17343.84,0,1,1,6.5544,0.949,0,1.772,2,0.3814,20.31,1,0.1323,23.3,0
158048.68,587,5.04,50867.81,48,21,2489.51,1,1,1,0.2663,0.3218,1,9.558,4,0.0492,39.52,1,0.0838,3.05,0
31202.0,592,11.82,17848.21,84,32,0.0,3,2,0,0.1373,0.572,0,2.737,4,0.0806,48.08,1,0.0859,7.94,0
77743.41,540,9.75,24490.64,24,34,9467.73,2,1,1,1.537,0.315,0,7.16,1,0.1252,86.42,0,0.0513,15.35,0
29833.59,584,0.03,64515.45,84,31,13207.1,1,2,1,5.8313,2.1625,0,32.32,0,0.0913,35.25,1,0.0573,47.48,1
81827.21,640,3.91,18559.42,12,33,78323.91,2,3,0,11.5407,0.2268,0,21.413,1,0.2157,22.25,0,0.0858,19.38,0
60580.18,661,2.7,34059.4,48,43,4315.19,0,2,1,0.9897,0.5622,0,18.671,2,0.1491,23.35,0,0.0808,9.25,0
44974.42,569,1.38,44626.9,36,39,12794.64,2,2,0,3.652,0.9923,0,16.871,3,0.1957,59.46,0,0.105,26.08,0
47934.01,631,0.58,16900.37,48,50,7270.94,2,1,0,1.9049,0.3526,0,2.48,0,0.3792,10.0,0,0.0969,9.35,0
34196.1,719,19.19,10348.58,60,21,6289.01,2,2,0,2.2796,0.3026,0,4.185,1,0.2258,12.65,1,0.0814,0.0,0
62651.3,490,4.18,59266.52,60,53,8215.52,0,1,0,1.8006,0.946,0,17.533,1,0.2569,12.64,0,0.0928,5.81,0
38168.24,639,2.12,211334.76,24,29,11489.01,0,2,1,4.941,5.5369,0,35.009,2,0.143,88.04,0,0.0929,22.24,0
24982.15,554,11.29,44278.88,120,51,0.0,0,2,0,0.4254,1.7724,0,16.223,1,0.2506,36.67,2,0.1052,11.9,0
24273.35,545,0.86,50160.62,60,32,10240.14,2,1,1,5.5584,2.0665,0,17.881,3,0.1353,60.0,0,0.0907,41.7,0
53902.03,663,17.36,18496.8,24,41,7567.91,0,0,0,1.7672,0.3432,0,17.52,1,0.2907,75.54,1,0.1088,11.36,0
116832.92,590,2.38,85415.99,24,25,3653.91,0,2,1,0.5508,0.7311,0,19.96,2,0.2034,74.7,0,0.0955,8.38,0
53529.89,530,0.22,25722.0,36,23,16345.42,1,3,1,3.7795,0.4805,0,16.589,0,0.1274,36.28,3,0.0682,29.0,0
45924.27,759,1.17,70011.6,120,43,19394.34,1,1,1,5.4336,1.5245,0,4.308,0,0.0354,40.08,1,0.0199,7.36,0
57365.85,722,0.82,48763.8,120,21,18658.79,1,1,1,4.1071,0.85,0,25.201,3,0.1752,46.57,0,0.1068,21.64,0
100539.0,466,16.45,49543.33,24,23,14374.39,2,1,0,1.8339,0.4928,0,5.122,3,0.0556,23.99,0,0.0602,18.73,0
55307.31,507,9.96,48322.33,48,45,4190.19,0,1,1,1.1188,0.8737,0,3.162,3,0.0112,55.35,1,0.0549,0.0,0
39104.39,693,1.41,47331.57,36,32,3603.04,3,1,0,1.3962,1.2104,0,12.298,1,0.255,58.83,3,0.1105,11.91,0
90080.48,614,1.54,39505.83,84,27,0.0,2,2,1,0.1053,0.4386,1,3.547,3,0.285,12.08,2,0.1312,1.84,0
62057.46,775,11.95,61698.88,84,53,2911.58,2,3,0,0.8016,0.9942,1,4.396,1,0.2147,69.01,0,0.0713,2.41,0
114081.2,695,0.3,20497.71,48,57,4525.18,1,0,1,0.5191,0.1797,1,12.019,3,0.1653,32.69,4,0.1234,14.29,0
54218.58,666,4.49,28134.92,36,37,50222.05,2,2,0,11.24,0.5189,0,5.479,1,0.0821,40.41,0,0.0391,19.93,0
24997.77,548,5.09,85327.96,120,51,0.0,2,1,0,0.8192,3.4134,0,5.175,5,0.1106,67.61,0,0.102,0.0,0
23098.26,684,0.04,36768.22,36,53,9279.13,0,3,1,5.2027,1.5918,0,16.241,2,0.1534,13.21,0,0.0799,35.27,0
121541.42,525,6.07,26585.98,120,36,1678.84,1,3,0,0.2183,0.2187,0,28.327,0,0.362,19.7,0,0.1141,9.02,0
126502.35,757,0.17,64386.88,12,31,0.0,0,3,1,0.1222,0.509,1,20.521,5,0.0769,10.0,0,0.1063,8.96,0
44411.98,677,7.68,56632.05,48,37,16492.02,2,1,1,4.7621,1.2752,0,23.655,1,0.3375,57.17,0,0.1181,41.48,0
39705.58,565,3.6,14116.75,48,21,2296.62,4,1,0,0.7794,0.3555,0,3.125,0,0.0718,69.18,1,0.0281,8.16,0
109512.54,712,2.71,52809.98,12,43,0.0,3,1,1,0.1157,0.4822,1,19.22,1,0.1536,61.19,0,0.0684,0.0,0
26665.47,841,3.12,35927.9,12,33,0.0,3,3,1,0.3234,1.3474,1,10.902,2,0.4733,24.83,0,0.1554,21.54,0
